,Latitude,Longitude,City,Temperature,Humidity,Cloudiness,Wind Speeds
479,31.35,27.25,Marsa Matruh,296.15,73,20,4.6
480,-21.48,-56.15,Jardim,297.14,71,37,4.01
481,56.17,113.57,Severomuysk,260.2,93,100,2.42
482,14.53,20.93,Biltine,304.6,29,100,3.34
483,-35.1,173.78,Kaeo,291.18,94,1,7.45
484,48.8,-79.2,La Sarre,283.55,72,100,2.42
485,24.47,54.37,Abu Dhabi,301.62,70,0,2.1
486,63.45,120.31,Verkhnevilyuysk,268.31,90,100,2.75
487,36.48,119.21,Anqiu,286.23,69,4,0.39
488,-3.31,129.0,Amahai,298.81,80,54,2.69
489,39.18,-96.57,Manhattan,285.86,47,90,8.2
490,6.19,-67.49,Puerto Carreno,301.15,78,75,2.1
491,13.22,80.32,Kattivakkam,297.09,100,75,2.1
492,10.99,-74.96,Puerto Colombia,301.15,88,75,4.1
493,46.9,6.35,Pontarlier,284.24,100,90,0.5
494,51.71,143.23,Katangli,277.49,76,9,3.83
495,-0.91,-78.62,Campoverde,286.61,87,75,1.5
496,47.34,5.0,Talant,284.84,100,90,1.5
497,68.22,-135.01,Aklavik,266.15,92,75,3.1
498,-11.1,-77.61,Hualmay,292.33,63,0,3.65
499,55.57,62.07,Brodokalmak,275.44,93,40,4.0
500,51.16,55.0,Sol-Iletsk,276.11,43,0,2.95
501,-3.13,-59.98,Manaus,301.15,83,75,1.0
502,-34.58,150.85,Flinders,289.87,72,0,2.6
503,57.45,97.32,Chunoyar,266.7,67,100,3.51
504,38.48,106.21,Yinchuan,284.82,38,100,1.34
505,49.18,-68.27,Hauterive,280.33,87,1,2.6
506,-6.09,-35.21,Nisia Floresta,299.62,74,40,3.6
507,29.7,-9.73,Tiznit,284.95,81,67,4.31
508,43.66,-70.25,Portland,286.29,58,1,2.1
509,-3.35,-64.71,Tefe,304.15,70,20,3.1
510,48.2,-114.32,Kalispell,279.65,52,90,4.1
